,clf,text,vect,feature,f1,precision,recall,accuracy,f1_rank,precision_rank,recall_rank,accuracy_rank
35,Neural_Network,cleaned,count,intermediate,0.868637373,0.565976682,0.47925,0.793,1,1,1,1
20,Neural_Network,cleaned,tfidf,baseline,0.86439311,0.563845124,0.4755,0.789,2,3,2,2
32,Neural_Network,cleaned,count,improved,0.857881,0.558925738,0.47,0.7815,3,13,3,3
15,Logistic_Regression,raw,count,intermediate,0.852190526,0.559680534,0.465,0.7705,4,10,4,4
12,Logistic_Regression,raw,count,improved,0.851857846,0.559680534,0.46475,0.77,5,11,5,5
9,Logistic_Regression,raw,count,baseline,0.850727362,0.559213167,0.46375,0.7685,6,12,6,6
27,Logistic_Regression,cleaned,count,baseline,0.847758197,0.561847894,0.462,0.7625,7,6,7,7
30,Logistic_Regression,cleaned,count,improved,0.847106773,0.561847894,0.4615,0.7615,8,7,9,8
33,Logistic_Regression,cleaned,count,intermediate,0.847106773,0.561847894,0.4615,0.7615,9,8,10,9
29,Neural_Network,cleaned,count,baseline,0.846114527,0.564630878,0.4615,0.7585,10,2,8,10
11,Neural_Network,raw,count,baseline,0.838564757,0.560041878,0.45475,0.75,11,9,11,11
8,Neural_Network,raw,tfidf,intermediate,0.794643029,0.553,0.421,0.689,12,14,12,12
26,Neural_Network,cleaned,tfidf,intermediate,0.788563352,0.546763042,0.41475,0.683,13,19,13,13
23,Neural_Network,cleaned,tfidf,improved,0.736819883,0.548019208,0.38125,0.6145,14,16,14,14
31,Decision_Tree,cleaned,count,improved,0.710543497,0.529518449,0.35775,0.586,15,22,15,15
28,Decision_Tree,cleaned,count,baseline,0.703871019,0.52855783,0.35325,0.578,16,23,16,16
25,Decision_Tree,cleaned,tfidf,intermediate,0.696711819,0.526023421,0.348,0.57,17,29,17,17
19,Decision_Tree,cleaned,tfidf,baseline,0.694619502,0.528,0.3475,0.567,18,26,18,18
34,Decision_Tree,cleaned,count,intermediate,0.693400033,0.527010804,0.34675,0.5665,19,27,19,19
4,Decision_Tree,raw,tfidf,improved,0.682045201,0.531563917,0.3415,0.5515,20,21,20,20
22,Decision_Tree,cleaned,tfidf,improved,0.681139004,0.525,0.33825,0.5515,21,32,22,21
13,Decision_Tree,raw,count,improved,0.680463496,0.528011204,0.339,0.55,22,24,21,22
7,Decision_Tree,raw,tfidf,intermediate,0.675727348,0.528011204,0.33625,0.5445,23,25,23,23
16,Decision_Tree,raw,count,intermediate,0.672368516,0.526,0.3335,0.541,24,30,24,24
1,Decision_Tree,raw,tfidf,baseline,0.670885375,0.5270027,0.333,0.539,25,28,25,25
10,Decision_Tree,raw,count,baseline,0.667644255,0.525040064,0.3305,0.536,26,31,27,26
18,Logistic_Regression,cleaned,tfidf,baseline,0.637449308,0.562576656,0.3315,0.5005,27,5,26,27
6,Logistic_Regression,raw,tfidf,intermediate,0.630811799,0.551184263,0.32275,0.4945,28,15,29,28
24,Logistic_Regression,cleaned,tfidf,intermediate,0.629846862,0.547169811,0.32,0.493,29,18,30,29
0,Logistic_Regression,raw,tfidf,baseline,0.618811522,0.563628848,0.32275,0.482,30,4,28,30
2,Neural_Network,raw,tfidf,baseline,0.51077967,0.367431562,0.31775,0.4685,33,33,31,31
21,Logistic_Regression,cleaned,tfidf,improved,0.595160853,0.546115288,0.30225,0.4585,31,20,33,32
3,Logistic_Regression,raw,tfidf,improved,0.588981098,0.547644123,0.30025,0.453,32,17,34,33
17,Neural_Network,raw,count,intermediate,0.492711015,0.36402561,0.3035,0.443,34,34,32,34
5,Neural_Network,raw,tfidf,improved,0.066666667,0.05,0.1,0.1,35,35,35,35
14,Neural_Network,raw,count,improved,0.066666667,0.05,0.1,0.1,36,36,36,36